name,type,uri
Aptos,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Aptos.png
Blue,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Blue.png
Candyland,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Candyland.png
Green,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Green.png
Interstellar,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Interstellar.png
Mars,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Mars.png
Pink,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Pink.png
Presidential Debate,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Presidential%20Debate.png
Red,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Red.png
Space Station,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Space%20Station.png
Striptease bar,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Striptease%20bar.png
Teal,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Teal.png
Under the sea,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Under%20the%20sea.png
Yellow,Background,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Yellow.png
Aptos badge,Badges,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Aptos%20badge.png
Artist badge,Badges,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Artist%20badge.png
Buidler badge,Badges,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/Buidler%20badge.png
CEO badge,Badges,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/CEO%20badge.png
CRED badge,Badges,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/CRED%20badge.png
CTO badge,Badges,https://bafybeidefvxv2rhzt26apifhthfapyrazgeselkomzpag2owkmnzu5r7ey.ipfs.w3s.link/CTO%20badge.png
