name,type,uri
Beetroot,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Beetroot.png
Ghost,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Ghost.png
Golden,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Golden.png
Hazelnut,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Hazelnut.png
Marhsmallow,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Marhsmallow.png
OG,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/OG.png
Panda,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Panda.png
Solar Spiral,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Solar%20Spiral.png
Wheat,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Wheat.png
Zombie,Body,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Zombie.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Beetroot.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Ghost.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Golden.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Hazelnut.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Marhsmallow.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/OG.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Panda.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Solar%20Spiral.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Wheat.png
Sloth Ball,Wrapper,https://bafybeiehrdzrbr4oi7n7pmnpatvu2ewy5htrrj6v6u2p7bgdpgnu4cpqee.ipfs.w3s.link/Zombie.png
